relName,bid,state,releaseId,trackId,error,bsonTag,category,bromaModStatus,bromaStep,inDrafts,inReleases
"Baarish Ban Jaana",43110,delivered,6a45099d161d7aa451fcd515,,"",,NOT_IN_BROMA,-,-,false,false
"Baat Kuch Sama",43108,delivered,6a450aae161d7aa451fcd518,,"",,NOT_IN_BROMA,-,-,false,false
"Baat Kuch Samajh",43106,delivered,6a450c4b161d7aa451fcd51b,,"",,NOT_IN_BROMA,-,-,false,false
"Bahut Jatate Ho Chah",43103,delivered,6a450ee9161d7aa451fcd51e,,"",,NOT_IN_BROMA,-,-,false,false
"Bahut Jatate Ho",43101,delivered,6a451009161d7aa451fcd521,,"",,NOT_IN_BROMA,-,-,false,false
"Ae Mere Dil Bata",43051,delivered,6a44ecf1161d7aa451fcd429,,"",,NOT_IN_BROMA,-,-,false,false
"Ae Mere Dost Laut Ke",43049,delivered,6a44ee39161d7aa451fcd42f,,"",,NOT_IN_BROMA,-,-,false,false
"Aisa Deewana",43047,delivered,6a44ef7f161d7aa451fcd432,,"",,NOT_IN_BROMA,-,-,false,false
"Aisa Lagta Hai",43046,delivered,6a44f40d161d7aa451fcd443,,"",,NOT_IN_BROMA,-,-,false,false
"Aisa Lagta Jaise",43034,delivered,6a44f54d161d7aa451fcd449,,"",,NOT_IN_BROMA,-,-,false,false
"Yaar Tera Pyar",43033,delivered,6a44facd161d7aa451fcd4cd,,"",,NOT_IN_BROMA,-,-,false,false
"Akhiya Ke Kajra Jhagra",43031,delivered,6a44f670161d7aa451fcd451,,"",,NOT_IN_BROMA,-,-,false,false
"Akhiya Ke Kajra",43029,delivered,6a44f85b161d7aa451fcd48c,,"",,NOT_IN_BROMA,-,-,false,false
"Ye Aayine Jo Tumhe Kam Pasand Karte Hai ",18296434,failed,6a44f86b161d7aa451fcd48f,,"",BSON_FIXED,LIVE_ON_BROMA,approved,shipped,approved,ready,false,true
"Nepali Hami",18296430,failed,6a44f8f4161d7aa451fcd49a,,"",BSON_FIXED,LIVE_ON_BROMA,approved,shipped,approved,ready,false,true
"Allah Di Kassam",18296426,failed,6a44f9ab161d7aa451fcd4a4,,"",BSON_FIXED,LIVE_ON_BROMA,approved,shipped,approved,ready,false,true
